file,skeleton_variant,deviation_reason,h3_logic,motivation_pattern,contribution_form,formula_style,table_types,pros_themes,transferable,category,date,chars,n_h3,n_img,n_math,n_pros,h2_seq
01-model-imbalanced-data-classification.md,标准,-,按模块,编号列表逐个点评,散文整段,三段式完整,组件对应表,重采样不平衡+鲁棒泛化,Y：四组件功能表+逐组件H3+删组件消融，可直接映射YOLO的Backbone/Neck/Head拆解与消融表,不平衡学习,2023-07-02,2386,8,12,0,0,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
02-model-based-synthetic-sampling-imbalanced-data.md,尾部分析节,实验节下增设4个分析性H3(可视化/结合集成/非线性影响/特征关系)，篇幅超方法段,按流程步骤,综述式铺陈,散文整段,无公式,无表,特征工程+实验充分,Y：流程三步骤+逐步消融的拆解可迁移；Wilcoxon检验+95%置信区间柱状图可迁移到mAP对比,不平衡学习,2023-07-04,3191,10,17,0,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
03-three-way-decision-ensemble-method-imbalanced.md,预备知识插入,三支决策与CCA术语密集，需单开H2铺理论,按定义-结构-变体,编号列表逐个点评,散文整段,三段式完整,无表,理论证明+重采样不平衡,"N：预备知识节强依赖粗糙集/CCA领域术语；仅""把算法随机性转化为集成多样性""这一论证角度可迁移",不平衡学习,2023-07-06,3339,8,31,0,3,研究动机 > 文章贡献 > 预备知识 > 本文方法 > 实验结果 > 优点和创新点
04-ensemble-classifiers-multiobjective-genetic-sampling.md,标准,-,按流程步骤,综述式铺陈,散文整段,缺其中解释,无表,鲁棒泛化+重采样不平衡,Y：按GA迭代流程(采样→适应度→选择→终止)切方法段，可迁移到进化/搜索类论文；胜平负计数表可迁移到多数据集mAP对比,不平衡学习,2023-07-09,2361,8,8,0,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
05-self-paced-ensemble-highly-imbalanced-massive.md,预备知识插入,"作者自建""分类硬度""概念独立成H2，下设定义/优点/样本类型三H3",混合,综述式铺陈,散文整段,缺其中解释,符号表+方法对比表,理论证明+鲁棒泛化,Y：难样本分级(trivial/noise/borderline)自适应加权即难例挖掘，硬度可换成IoU或损失；符号表+伪代码逐行注解可直接迁移,不平衡学习,2023-07-13,4084,9,17,0,4,研究动机 > 文章贡献 > 分类硬度分布 > 本文方法 > 实验结果 > 优点和创新点
06-exploratory-undersampling-class-imbalance-learning.md,尾部分析节,"经典baseline论文，以""补充说明""3条替代优点节，实验节增设训练时间/集成策略分析",按定义-结构-变体,综述式铺陈,散文整段,无公式,无表,计算效率+鲁棒泛化,Y：两变体并列对比(无监督vs监督采样)+独立训练时间小节可迁移到检测的速度-精度权衡；但需自行补写优点节,不平衡学习,2023-07-22,2156,7,14,0,0,研究动机 > 文章贡献 > 本文方法 > 实验结果
07-re-balancing-strategy-class-imbalanced-classification.md,标准,-,按定义-结构-变体,综述式铺陈,散文整段,三段式完整,方法对比表,理论证明+可解释性,"Y：任务定义→重采样框架→难度模型的三段切法及""理论分析+模型设计""双层H4，可迁移到Focal loss/难例加权类视觉论文",不平衡学习,2023-07-24,3368,7,14,0,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
08-deepsmote-fusing-deep-learning-smote.md,标准,-,无H3,综述式铺陈,散文整段,无公式,无表,可微端到端+计算效率,Y：本批最贴近视觉，图像基准+生成图质量可视化+不平衡比鲁棒性曲线+统计检验，整套模板可搬到无人机小目标/长尾检测笔记,不平衡学习,2023-08-03,2231,4,16,0,4,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
09-hashing-based-undersampling-ensemble-imbalanced-pattern.md,标准,-,按流程步骤,综述式铺陈,散文整段,三段式完整,无表（均截图）,重采样不平衡+实验充分,Y：组件替换式消融(ITQ vs k-means)+合成数据可视化+WIN-TIE-LOSE 表，可换成 backbone/neck 消融与可视化,不平衡学习,2023-09-10,3071,7,21,0,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
10-sample-feature-selecting-ensemble-learning.md,标准,-,按模块,综述式铺陈,散文整段,缺其中解释（用数字举例代替）,无表,特征工程+计算效率,Y：样本维+特征维双路多样性，可映射为检测论文的数据增强策略与通道/尺度分支消融,不平衡学习,2023-10-20,2394,7,16,0,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
11-class-imbalance-aware-multi-label-learning.md,预备知识插入,多标签形式化定义与 ImR 需先铺垫，否则三分类构造读不懂,混合,综述式铺陈（末句「本文旨在解决的核心问题是：」点题）,其他（散文段内嵌编号步骤）,缺其中解释,方法对比表+消融变体表,理论统一等价+实验充分,Y：极简机制统一两个割裂目标+用 V1/V2 消融自证设计选择，检测笔记最该照搬,不平衡学习,2026-03-22,3808,3,14,46,0,研究动机 > 文章贡献 > 预备知识 > 本文方法 > 实验结果 > 优点和创新点
12-oversampling-reliably-expanding-minority-class.md,标准,H2 严格标准；仅动机段内拆「研究背景/研究目的」,混合,编号列表逐个点评（3 条动机各先立靶再述 KNN/聚类/集成缺点）,散文整段（3 段与 3 动机一一对应）,三段式完整,无表,理论证明+实验充分,Y：动机-贡献-方法-实验四段对称(3 动机→3 方法→3 组实验)，视觉论文笔记最该复制的骨架,不平衡学习,2023-12-08,8184,9,28,0,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
